wavelength_nm; Transmission
2600; 45.30550385
2599; 45.15871048
2598; 45.02954865
2597; 44.84352493
2596; 44.58012772
2595; 44.42243195
2594; 44.20555878
2593; 43.97591782
2592; 43.74427795
2591; 43.53416824
2590; 43.23090744
2589; 42.97563934
2588; 42.72562408
2587; 42.48220062
2586; 42.21663666
2585; 41.9976387
2584; 41.72388077
2583; 41.52173996
2582; 41.35229492
2581; 41.18364334
2580; 41.01707458
2579; 40.85951614
2578; 40.74243164
2577; 40.62778854
2576; 40.58227158
2575; 40.45616531
2574; 40.36520004
2573; 40.36931229
2572; 40.32646561
2571; 40.26685333
2570; 40.14998627
2569; 40.11843491
2568; 40.09410095
2567; 39.99232864
2566; 39.91341019
2565; 39.79301071
2564; 39.71411514
2563; 39.657547
2562; 39.61907578
2561; 39.49259949
2560; 39.40683365
2559; 39.39833832
2558; 39.31881714
2557; 39.26993179
2556; 39.17004013
2555; 39.12113571
2554; 39.09355545
2553; 39.02716827
2552; 38.95724869
2551; 38.91251373
2550; 38.88911819
2549; 38.86219788
2548; 38.80532837
2547; 38.76239777
2546; 38.72328568
2545; 38.61519623
2544; 38.58047485
2543; 38.47771454
2542; 38.39066315
2541; 38.28251266
2540; 38.16558456
2539; 38.00958252
2538; 37.89946365
2537; 37.69668961
2536; 37.57773209
2535; 37.37532043
2534; 37.17602158
2533; 36.90052795
2532; 36.75157166
2531; 36.43863297
2530; 36.2543335
2529; 35.97188187
2528; 35.67446899
2527; 35.43567657
2526; 35.17846298
2525; 34.87877274
2524; 34.63677597
2523; 34.38620758
2522; 34.16245651
2521; 33.89070511
2520; 33.65684128
2519; 33.43851089
2518; 33.2238884
2517; 33.03920746
2516; 32.88347626
2515; 32.69549942
2514; 32.57264709
2513; 32.52044678
2512; 32.47929382
2511; 32.39102936
2510; 32.39782715
2509; 32.36247635
2508; 32.39594269
2507; 32.39222336
2506; 32.47755814
2505; 32.58356094
2504; 32.62862396
2503; 32.71471786
2502; 32.83792877
2501; 32.88591766
2500; 32.99692154
2499; 33.11873627
2498; 33.21917343
2497; 33.26474762
2496; 33.31955719
2495; 33.43394852
2494; 33.47658539
2493; 33.56687546
2492; 33.64740753
2491; 33.69033051
2490; 33.76368332
2489; 33.8400383
2488; 33.87902832
2487; 33.90746307
2486; 33.97956467
2485; 33.98337555
2484; 33.9902153
2483; 33.98527908
2482; 33.95811462
2481; 33.84231949
2480; 33.68851089
2479; 33.49782562
2478; 33.32904053
2477; 32.9858017
2476; 32.72437286
2475; 32.37174606
2474; 31.99425697
2473; 31.59652901
2472; 31.1694088
2471; 30.77355576
2470; 30.32017326
2469; 29.90447617
2468; 29.46060371
2467; 29.05148888
2466; 28.77555847
2465; 28.4783802
2464; 28.27620125
2463; 28.14417458
2462; 28.06952286
2461; 28.11768913
2460; 28.24853325
2459; 28.45288849
2458; 28.71524429
2457; 29.04253006
2456; 29.43822098
2455; 29.8861351
2454; 30.37330818
2453; 30.83865356
2452; 31.33731842
2451; 31.85722733
2450; 32.40794373
2449; 32.95776367
2448; 33.52659225
2447; 34.12866974
2446; 34.70498276
2445; 35.27051926
2444; 35.759758
2443; 36.39741135
2442; 36.8832283
2441; 37.41273117
2440; 37.82388306
2439; 38.25366974
2438; 38.63111115
2437; 38.96707535
2436; 39.21943283
2435; 39.47779083
2434; 39.73994827
2433; 39.96555328
2432; 40.06263351
2431; 40.31164169
2430; 40.37478638
2429; 40.50370789
2428; 40.60142136
2427; 40.71839905
2426; 40.74977112
2425; 40.82099533
2424; 40.82996368
2423; 40.84728241
2422; 40.81985855
2421; 40.80779266
2420; 40.72512054
2419; 40.6920929
2418; 40.55609131
2417; 40.458004
2416; 40.37992477
2415; 40.2120018
2414; 40.03927994
2413; 39.85321426
2412; 39.6278801
2411; 39.38646317
2410; 39.12683487
2409; 38.85218048
2408; 38.54995346
2407; 38.31531525
2406; 38.08134842
2405; 37.84580994
2404; 37.68613434
2403; 37.55200958
2402; 37.47105408
2401; 37.43275452
2400; 37.45910263
2399; 37.47943115
2398; 37.557827
2397; 37.67004776
2396; 37.71889877
2395; 37.83295441
2394; 37.9392662
2393; 38.07040787
2392; 38.12598801
2391; 38.27960968
2390; 38.39385605
2389; 38.4500885
2388; 38.59664154
2387; 38.6539917
2386; 38.78997421
2385; 38.89021683
2384; 39.02600098
2383; 39.07429886
2382; 39.18427277
2381; 39.27920151
2380; 39.27853012
2379; 39.35256958
2378; 39.36703491
2377; 39.31661987
2376; 39.25192642
2375; 39.22287369
2374; 39.08701706
2373; 39.04506683
2372; 38.95425797
2371; 38.88383102
2370; 38.80429077
2369; 38.74369431
2368; 38.57793045
2367; 38.57062149
2366; 38.46043015
2365; 38.45715332
2364; 38.44807053
2363; 38.46549988
2362; 38.47517395
2361; 38.52676392
2360; 38.57928467
2359; 38.52883148
2358; 38.56943512
2357; 38.53580856
2356; 38.49531555
2355; 38.44374847
2354; 38.28622818
2353; 38.22835159
2352; 38.18780899
2351; 38.14133835
2350; 38.16793442
2349; 38.17793274
2348; 38.17392731
2347; 38.26760483
2346; 38.31444168
2345; 38.32413101
2344; 38.38884735
2343; 38.43625641
2342; 38.46186829
2341; 38.46133804
2340; 38.45034409
2339; 38.40745163
2338; 38.26205826
2337; 38.193367
2336; 38.02636337
2335; 37.82895279
2334; 37.60693741
2333; 37.33466339
2332; 36.99899292
2331; 36.73722076
2330; 36.46275711
2329; 36.12245178
2328; 35.79275131
2327; 35.40283585
2326; 34.90484238
2325; 34.49308014
2324; 34.01883698
2323; 33.44836044
2322; 32.94648361
2321; 32.38677979
2320; 31.85266495
2319; 31.2979393
2318; 30.83478546
2317; 30.45513916
2316; 30.13894653
2315; 29.9459362
2314; 29.80392265
2313; 29.77610207
2312; 29.8376255
2311; 29.8977623
2310; 29.9901638
2309; 30.10421753
2308; 30.23358345
2307; 30.39299202
2306; 30.48423576
2305; 30.61879539
2304; 30.760252
2303; 30.93180084
2302; 31.05519676
2301; 31.23332596
2300; 31.40152359
2299; 31.6187973
2298; 31.88778687
2297; 32.11437607
2296; 32.38811493
2295; 32.71530914
2294; 33.04671478
2293; 33.35277176
2292; 33.7223053
2291; 34.05305862
2290; 34.45531464
