wavelength_nm; Transmission
2600; 82.19858551
2599; 82.20256805
2598; 82.25482941
2597; 82.0842514
2596; 82.09427643
2595; 81.99251556
2594; 81.97480774
2593; 81.77919006
2592; 81.74620819
2591; 81.61123657
2590; 81.62437439
2589; 81.55200195
2588; 81.44342804
2587; 81.32715607
2586; 81.17559052
2585; 81.17657471
2584; 81.13685608
2583; 81.0007782
2582; 80.9105072
2581; 80.9679184
2580; 80.82814789
2579; 80.68440247
2578; 80.7081604
2577; 80.72116089
2576; 80.766716
2575; 80.63478088
2574; 80.73880768
2573; 80.56906128
2572; 80.59493256
2571; 80.55235291
2570; 80.49739838
2569; 80.51719666
2568; 80.48026276
2567; 80.4772644
2566; 80.46614075
2565; 80.21899414
2564; 80.43264771
2563; 80.30282593
2562; 80.32976532
2561; 80.2341156
2560; 80.24876404
2559; 80.20240784
2558; 80.09301758
2557; 80.14211273
2556; 80.11914825
2555; 80.13816071
2554; 80.07471466
2553; 80.16183472
2552; 80.02254486
2551; 80.07696533
2550; 80.10410309
2549; 80.02796936
2548; 79.92745972
2547; 79.96347809
2546; 80.01039886
2545; 79.92003632
2544; 79.83027649
2543; 79.85605621
2542; 79.840065
2541; 79.84733582
2540; 79.71322632
2539; 79.74891663
2538; 79.75587463
2537; 79.64139557
2536; 79.67656708
2535; 79.47418976
2534; 79.40311432
2533; 79.33157349
2532; 79.36112976
2531; 79.19798279
2530; 79.12108612
2529; 78.94046021
2528; 78.90196228
2527; 78.80055237
2526; 78.70819855
2525; 78.6161499
2524; 78.49111938
2523; 78.46768188
2522; 78.3187561
2521; 78.1067276
2520; 78.1572876
2519; 78.08735657
2518; 77.96105957
2517; 77.81304932
2516; 77.71168518
2515; 77.60941315
2514; 77.53300476
2513; 77.54879761
2512; 77.462883
2511; 77.37419128
2510; 77.43881989
2509; 77.45088959
2508; 77.4683075
2507; 77.48668671
2506; 77.40809631
2505; 77.38922119
2504; 77.40935516
2503; 77.4402771
2502; 77.54203033
2501; 77.31859589
2500; 77.42292786
2499; 77.51631165
2498; 77.40452576
2497; 77.45168304
2496; 77.48841858
2495; 77.44111633
2494; 77.37216187
2493; 77.39800262
2492; 77.40422821
2491; 77.30900574
2490; 77.32627869
2489; 77.29019165
2488; 77.2766571
2487; 77.30065918
2486; 77.24359894
2485; 77.32012177
2484; 77.09406281
2483; 77.24029541
2482; 77.20162964
2481; 77.05490112
2480; 76.96489716
2479; 76.90368652
2478; 76.63921356
2477; 76.58117676
2476; 76.40657043
2475; 76.28440094
2474; 76.00175476
2473; 75.71809387
2472; 75.45115662
2471; 75.40608215
2470; 75.16911316
2469; 74.94325256
2468; 74.64896393
2467; 74.41335297
2466; 74.27439117
2465; 73.92164612
2464; 73.82624817
2463; 73.80018616
2462; 73.6254425
2461; 73.54981995
2460; 73.65167236
2459; 73.61257935
2458; 73.65995789
2457; 73.98216248
2456; 74.08296204
2455; 74.23860931
2454; 74.31573486
2453; 74.52780914
2452; 74.66973877
2451; 74.85167694
2450; 74.99600983
2449; 75.12379456
2448; 75.36368561
2447; 75.46040344
2446; 75.63224792
2445; 75.88071442
2444; 76.01493073
2443; 76.16483307
2442; 76.35858917
2441; 76.60331726
2440; 76.53656769
2439; 76.62200165
2438; 76.87763977
2437; 76.90956879
2436; 76.85373688
2435; 77.00167847
2434; 77.01348877
2433; 77.08789063
2432; 77.06564331
2431; 77.18927002
2430; 77.20697784
2429; 77.15060425
2428; 77.15023804
2427; 77.18021393
2426; 77.24515533
2425; 77.19354248
2424; 77.26008606
2423; 77.22558594
2422; 77.26879883
2421; 77.22967529
2420; 77.22881317
2419; 77.29735565
2418; 77.19801331
2417; 77.10714722
2416; 77.10254669
2415; 77.05267334
2414; 76.89241028
2413; 77.07103729
2412; 76.97796631
2411; 76.87450409
2410; 76.89822388
2409; 76.80760193
2408; 76.70466614
2407; 76.70475769
2406; 76.6088028
2405; 76.47103882
2404; 76.43878174
2403; 76.47699738
2402; 76.43267822
2401; 76.5428772
2400; 76.55032349
2399; 76.56395721
2398; 76.52690125
2397; 76.68236542
2396; 76.74041748
2395; 76.78128815
2394; 76.88792419
2393; 76.95249939
2392; 76.9342041
2391; 77.05986786
2390; 77.17269897
2389; 77.23965454
2388; 77.23931885
2387; 77.32474518
2386; 77.29141998
2385; 77.48384094
2384; 77.49699402
2383; 77.55583191
2382; 77.63235474
2381; 77.67670441
2380; 77.78616333
2379; 77.81983948
2378; 77.76300812
2377; 77.86074829
2376; 77.93441772
2375; 77.88841248
2374; 77.87381744
2373; 77.95693207
2372; 77.95768738
2371; 78.01999664
2370; 77.90926361
2369; 78.04277802
2368; 78.09859467
2367; 78.03837585
2366; 78.16542053
2365; 78.09111786
2364; 78.31002045
2363; 78.19007111
2362; 78.26287842
2361; 78.458992
2360; 78.4836731
2359; 78.4466095
2358; 78.53014374
2357; 78.59121704
2356; 78.67279053
2355; 78.65016937
2354; 78.6654892
2353; 78.80639648
2352; 78.77927399
2351; 78.84128571
2350; 78.90763855
2349; 78.98123932
2348; 78.9748764
2347; 79.0894928
2346; 79.03735352
2345; 79.10764313
2344; 79.24998474
2343; 79.31717682
2342; 79.27529907
2341; 79.50552368
2340; 79.47149658
2339; 79.43167114
2338; 79.53814697
2337; 79.47751617
2336; 79.51046753
2335; 79.46748352
2334; 79.56597137
2333; 79.42753601
2332; 79.43119049
2331; 79.32674408
2330; 79.32315063
2329; 79.3364563
2328; 79.28298187
2327; 79.16455078
2326; 78.97898865
2325; 78.96740723
2324; 78.88213348
2323; 78.75661469
2322; 78.63227844
2321; 78.4541626
2320; 78.23113251
2319; 78.21279144
2318; 78.05351257
2317; 77.95430756
2316; 77.91061401
2315; 77.93661499
2314; 77.95956421
2313; 78.12163544
2312; 78.18057251
2311; 78.35441589
2310; 78.35261536
2309; 78.59298706
2308; 78.77879333
2307; 78.87442017
2306; 78.92241669
2305; 79.05401611
2304; 79.17995453
2303; 79.19379425
2302; 79.33045959
2301; 79.3852005
2300; 79.50665283
2299; 79.59336853
2298; 79.67595673
2297; 79.76423645
2296; 79.97925568
2295; 80.08279419
2294; 80.19277191
2293; 80.41191101
2292; 80.48957062
2291; 80.55886078
2290; 80.64225006
2289; 80.70639038
2288; 80.79836273
2287; 80.97585297
2286; 81.05435944
2285; 81.14742279
2284; 81.28883362
2283; 81.30017853
2282; 81.42125702
2281; 81.51372528
2280; 81.51074982
2279; 81.50593567
2278; 81.71881104
2277; 81.74524689
2276; 81.67825317
2275; 81.73324585
2274; 81.9572525
2273; 81.93558502
2272; 82.12120819
2271; 82.3026886
2270; 82.45537567
2269; 82.6607132
2268; 82.87358856
2267; 83.14680481
2266; 83.29962158
2265; 83.63872528
2264; 83.78546143
2263; 84.05675507
2262; 84.21504211
2261; 84.52275848
2260; 84.65190887
2259; 84.80375671
2258; 85.01473999
2257; 85.17243195
2256; 85.43413544
2255; 85.57015991
2254; 85.6913681
2253; 85.93067932
2252; 85.96691895
2251; 86.17325592
2250; 86.15511322
2249; 86.37509155
2248; 86.40112305
2247; 86.47013092
2246; 86.64959717
2245; 86.66563416
2244; 86.66411591
2243; 86.77108002
2242; 86.90589905
2241; 86.83261871
2240; 86.89336395
2239; 86.88388062
2238; 86.85575104
2237; 86.78244019
2236; 86.89309692
2235; 86.9627533
2234; 86.87246704
2233; 86.85080719
2232; 86.90007019
2231; 86.82259369
2230; 86.87515259
2229; 86.95188904
2228; 86.97900391
2227; 86.86010742
2226; 86.89260864
2225; 86.98453522
2224; 86.92745209
2223; 86.91400909
2222; 86.89620209
2221; 86.91410065
2220; 86.84888458
2219; 86.87539673
2218; 86.8360672
2217; 86.81437683
2216; 86.82455444
2215; 86.64278412
2214; 86.57287598
2213; 86.61601257
2212; 86.50744629
2211; 86.50505066
2210; 86.36057281
2209; 86.40960693
2208; 86.31271362
2207; 86.37564087
2206; 86.34825897
2205; 86.32891083
2204; 86.21752167
2203; 86.18115997
2202; 86.16805267
2201; 86.11439514
2200; 86.13702393
2199; 86.00816345
2198; 85.95469666
2197; 85.87429047
2196; 85.80381012
2195; 85.69764709
2194; 85.72434998
2193; 85.60489655
2192; 85.66064453
2191; 85.51292419
2190; 85.56835175
2189; 85.5639801
2188; 85.50125122
2187; 85.52766418
2186; 85.54651642
2185; 85.51514435
2184; 85.45895386
2183; 85.42813873
2182; 85.45503235
2181; 85.43730164
2180; 85.28489685
2179; 85.33518219
2178; 85.32146454
2177; 85.23438263
2176; 85.06295013
2175; 85.03386688
2174; 85.07834625
2173; 84.92806244
2172; 84.63885498
2171; 84.61043549
2170; 84.28308868
2169; 84.1986084
2168; 83.91168976
2167; 83.81229401
2166; 83.51956177
2165; 83.35484314
2164; 83.284935
2163; 83.12097168
2162; 83.17340851
2161; 83.30054474
2160; 83.25944519
2159; 83.43173981
2158; 83.50449371
2157; 83.6457901
2156; 83.60427856
2155; 83.81429291
2154; 83.89083862
2153; 83.89442444
2152; 83.991539
2151; 84.07694244
2150; 84.03440857
2149; 84.18253326
2148; 84.0892868
2147; 84.09237671
2146; 84.0526123
2145; 83.92158508
2144; 83.89990997
2143; 83.79292297
2142; 83.68826294
2141; 83.63700867
2140; 83.58950043
2139; 83.48634338
2138; 83.35916138
2137; 83.45861816
2136; 83.3637619
2135; 83.47749329
2134; 83.47252655
2133; 83.49749756
2132; 83.71637726
2131; 83.78635406
2130; 83.96577454
2129; 84.11313629
2128; 84.12310791
2127; 84.27716827
2126; 84.31632233
2125; 84.49220276
2124; 84.46065521
2123; 84.61220551
2122; 84.60884094
2121; 84.65260315
2120; 84.71572113
2119; 84.77263641
2118; 84.84552765
2117; 84.8769455
2116; 84.94841003
2115; 84.88798523
2114; 85.04465485
2113; 84.95002747
2112; 85.08059692
2111; 85.05518341
2110; 85.20555115
2109; 85.21247101
2108; 85.35713196
2107; 85.27379608
2106; 85.34500122
2105; 85.40732574
2104; 85.45521545
2103; 85.4095459
2102; 85.52105713
2101; 85.59370422
2100; 85.7206192
2099; 85.66600037
2098; 85.66435242
2097; 85.87532806
2096; 85.80070496
2095; 85.82609558
2094; 85.92180634
2093; 86.02347565
2092; 85.93476105
2091; 86.13546753
2090; 86.22199249
2089; 86.30645752
2088; 86.28578186
2087; 86.35466766
2086; 86.49137115
2085; 86.49018097
2084; 86.6009903
2083; 86.70214081
2082; 86.71424103
2081; 86.93349457
2080; 86.82249451
2079; 87.05150604
2078; 87.09542847
2077; 87.09613037
